Category,CategoryEN,SortOrder,Name,NameEN,Description,DescriptionEN,Ingredients,Allergens,Price,Variants,ImageUrl,Tags,Active
Predjela,Starters,1,Srpska salata,Serbian Salad,Sveza salata sa paradajzom i paprikom,Fresh salad with tomatoes and peppers,"paradajz, paprika, luk, ulje",,350,,,Vegan,TRUE
Predjela,Starters,2,Domaci kajmak,Homemade Kaymak,Kajmak iz Zlatibora sa lepinjom,Kaymak from Zlatibor with bread,"mleko, pavlaka, lepinja",Dairy,450,,,Novo,TRUE
Predjela,Starters,3,Punjene palacinke,Stuffed Crepes,Sa sirom i sunkom,With cheese and ham,"brasno, jaja, sir, sunka","Gluten,Dairy",480,,,, TRUE
Glavna Jela,Main Dishes,1,Cevapi,Cevapi,10 komada sa kajmakom i lepinjom,10 pcs with kaymak and bread,"mleveno meso, luk, kajmak, lepinja","Gluten,Dairy",850,Mali (5kom) 550|Veliki (10kom) 850,,,TRUE
Glavna Jela,Main Dishes,2,Pljeskavica,Pljeskavica,Punjena sa sirom i kajmakom,Stuffed with cheese and kaymak,"mleveno meso, sir, kajmak, lepinja","Gluten,Dairy",750,Obicna 650|Punjena 850,,,TRUE
Glavna Jela,Main Dishes,3,Karadjordjeva snicla,Karadjordje Steak,Pohovana vesalica sa kajmakom i tartarom,Breaded steak with kaymak and tartar,"svinjski file, kajmak, jaje, brasno","Gluten,Dairy",1200,,,Novo,TRUE
Glavna Jela,Main Dishes,4,Pileci batak,Chicken Drumstick,Sa zapecenim povrcem i prilogom,With roasted vegetables and side,"piletina, krompir, paprika, tikvice",,780,,,, TRUE
Sendvici,Sandwiches,1,Libero sendvic,Libero Sandwich,Pileci file sa zelenom salatom i sosom,Chicken fillet with lettuce and sauce,"piletina, salata, paradajz, sos, lepinja",Gluten,580,,,, TRUE
Sendvici,Sandwiches,2,Klasik burger,Classic Burger,Junetina sa cheddar sirom i BBQ sosom,Beef with cheddar cheese and BBQ sauce,"junetina, cheddar, salata, paradajz, sos","Gluten,Dairy",750,,,Ljuto,TRUE
Deserti,Desserts,1,Palacinka sa nutellom,Nutella Pancake,Sa bananama i mlevenim lesnikom,With bananas and ground hazelnut,"brasno, jaja, nutella, banana, lesnik","Gluten,Dairy,Nuts",400,,,, TRUE
Deserti,Desserts,2,Tulumba,Tulumba,Domaca tulumba sa secerom,Homemade tulumba with sugar syrup,"brasno, jaja, secer, ulje","Gluten,Dairy",300,,,, TRUE
Pica,Drinks,1,Coca Cola,Coca Cola,,,,,200,0.25L 200|0.5L 300,,,TRUE
Pica,Drinks,2,Domaca limunada,Homemade Lemonade,Sveza sa nanom i medom,Fresh with mint and honey,"limun, nana, med, voda",,350,,,Vegan,TRUE
Pica,Drinks,3,Cedevita,Cedevita,,,,,180,0.25L 180|0.5L 280,,,TRUE
Pica,Drinks,4,Kisela voda,Sparkling Water,,,,,150,0.25L 150|0.5L 220,,,TRUE
